CLIENTE,ORDEN DE PIORIDAD,CONTACTADO (SI/NO),RESPUESTA SI/NO,ESTADO,LICITA (SI/NO),VIANDA/COMEDOR,PROVEEDOR ACTUAL,FECHA VOLVER A CONTACTAR,FECHA ULTIMO CONTACTO,CONTACTO PERSONAL,MAIL,CELULAR,nombre,CALENDARIZADO,COMENTARIOS,LOCALIDAD,DIRECCIÓN / REFERENCIA,FUENTE,OBSERVACIONES DEL RELEVAMIENTO,TIPO DE CORREO
Zapata Hnos. S.A.,,,,,,,,,,,oficinatecnica@zapatahnossa.com.ar,,,,,Ramallo / COMIRSA,,,,
YPF,,,,,,,,,,,TerminalSanLorenzo@ypf.com,,,,,San Lorenzo,,,,
YO AMO MI CIUDAD,,,,,,,,,,,yoamomiciudad.sanlorenzo@gmail.com,,,,,San Lorenzo,,,,
YGS CAPACITACIÓN Y CONSULTORÍA,,,,,,,,,,,info@ygs-group.com.ar,,,,,Capitán Bermúdez,,,,
WILLIAMS ENTREGAS S.A.,,,,,,,,,,,rrhh@williamsagroservicios.com.ar,,,,,San Lorenzo,,,,
WERK PIÑEIRO,1,NO,,,,,,,,,,,,,,,,,,
WATCHMAN,,,,,,,,,,,avalero@watchman.com.ar,,,,,Rosario,,,,
Vipal Cauchos,,,,,,,,,,,vipal@vipal.com.ar,,,,,Pérez,,,,
VENTILAR S.A.,,,,,,,,,,,ventilarsa@ventilarsa.com.ar,,,,,San Lorenzo,,,,
VENETUCCI,,,,,,,,,,,info@venetucci.net,,,,,San Lorenzo,,,,
VARTECO QUÍMICA PUNTANA,,,,,,,,,,,gcanavesio@varteco.com.ar,,,,,San Lorenzo,,,,
UNITEC BIO,,,,,,,,,,,info@unitecbio.com,,,,,Puerto General San Martín,,,,
UNIDADES MÓVILES SAN LORENZO S.R.L.,,,,,,,,,,,,,,,,San Lorenzo,,,,
Transelec,,,,,,,,,,,mkarle@transelec.com.ar,,,,,Pérez,,,,
TRANEF,,,,,,,,,,,info@tranef.com.ar,,,,,San Lorenzo,,,,
TORK,,,,,,,,,,,administracion@torksa.com,,,,,San Lorenzo,,,,
TIGUAN S.A.,,,,,,,,,,,tecnica@tiguan.com.ar,,,,,Rosario,,,,
Testatec,,,,,,,,,,,info@testatec.com.ar,,,,,Ramallo / COMIRSA,,,,
TERSUAVE,3,NO,,,si,,,,,,,3415627117,eugenia,,,,,,,
Ternium — Centro Industrial San Nicolás,,,,,,,,,,,,,,,,San Nicolás,,,,
Ternium — Centro Industrial Rosario,,,,,,,,,,,,,,,,Rosario,,,,
TERMINALES Y SERVICIOS,,,,,,,,,,,postulaciones@terminalesyservicios.com.ar,,,,,Timbúes,,,,
Terminal Puerto Rosario (TPR),,,,,,,,,,,info@tpr.com.ar,,,,,Rosario,,,,
TERMINAL 6,,,,,,,,,,,term6@terminal6.com.ar,,,,,Puerto General San Martín,,,,
TENSAR,2,NO,,,,,,,,,,,,,,,,,,
TECNUAR S.R.L.,,,,,,,,,,,,,,,,San Lorenzo,,,,
TAKAY KAIPI S.A.,,,,,,,,,,,,,,,,San Lorenzo,,,,
TAGMAS Publicidad,,,,,,,,,,,scatini@tagmas.com,,,,,Rosario,,,,
SYLOPER,,,,,,,,,,,info@syloper.com,,,,,Rosario,,,,
SUX SOLAR,,,,,,,,,,,comercial@suxsolar.com.ar,,,,,Funes,,,,
styropek,1,NO,,,,,,,,,,3413680150,silvina,,,,,,,
STC INVERSIONES,,,,,,,,,,,info@stcinversiones.com.ar,,,,,Rosario,,,,
Sport 78 · Digital Sport,,,,,,,,,,,,,,,,Pérez,,,,
SOLMEC,,,,,,,,,,,admin@solmecsa.com.ar,,,,,Puerto General San Martín,,,,
SOLAMB,,,,,,,,,,,rrhh@solamb.com.ar,,,,,San Lorenzo,,,,
SOL INGENIERÍA S.R.L.,,,,,,,,,,,sol@solingenieria.com.ar,,,,,San Lorenzo,,,,
SOIME,,,,,,,,,,,info@soime.com.ar,,,,,Fray Luis Beltrán,,,,
SMP SEGURIDAD,,,,,,,,,,,fduringer@smpargentina.com,,,,,Rosario,,,,
SL LOGISTICS S.A.,,,,,,,,,,,,,,,,San Lorenzo,,,,
SKF,1,SI,SI,EN CONVERSACION,,VIANDAS,MARTA CURA,,,,,3415502588,ACUÑA HECTOR,,VIANDAS AL VACIO Y VEHICULO REFRIGERADO,,,,,
SISGRA,,,,,,,,,,,sisgra@sisgra.com.ar,,,,,Rosario,,,,
SIRIUS CONSULTORES,,,,,,,,,,,njbelfiore@yahoo.com.ar,,,,,San Lorenzo,,,,
Sipar,2,NO,,,,,,,,,,,,,,,,,,
SINERGIA SERVICIOS,,,,,,,,,,,info@sinergiaservicios.com.ar,,,,,San Lorenzo,,,,
SILCAR,1,si,SI,ENVIAR PRESUPUESTO,NO,,,,,,llanieri@gruposilcar.com,3415454946,fernando,,VIANDAS,,,,,
SIECONS INGENIERÍA,,,,,,,,,,,administracion@siecons.com,,,,,Rosario,,,,
SERVICIOS NV,,,,,,,,,,,administracion@serviciosnv.com,,,,,Rosario,,,,
SERVICIOS INGENIERÍA PUERTO,,,,,,,,,,,administracion@consultoriasip.com.ar,,,,,Puerto General San Martín,,,,
