ID_EMPRESA,EMPRESA,ESTADO_PIPELINE,CONTACTADO,RESPUESTA,FECHA_ULT_CONTACTO,FECHA_VOLVER_CONTACTAR
EMP-0006,WERK PIÑEIRO,CLIENTE ACTUAL,NO,,,
EMP-0019,TERSUAVE,,NO,,,
EMP-0023,Terminal Puerto Rosario (TPR),CLIENTE ACTUAL,,,,
EMP-0025,TENSAR,,NO,,,
EMP-0031,styropek,,NO,,,
EMP-0040,SKF,EN CONVERSACION,SI,SI,,
EMP-0043,Sipar,,NO,,,
EMP-0045,SILCAR,ENVIAR PRESUPUESTO,si,SI,,
EMP-0053,SEMAC CONSTRUCCIONES S.A.,CLIENTE ACTUAL,,,,
EMP-0058,SANIMAT PIÑEIRO,CLIENTE ACTUAL,si,aceptada,,
EMP-0062,ROVIAL,,NO,,,
EMP-0066,RENOVA electroluz,,NO,,,
EMP-0068,rava,,NO,,,
EMP-0070,RANDOM,avergiuar,NO,,,
EMP-0073,Puerto ADM S.R.L,,NO,,,
EMP-0075,PROSEGUR,,NO,,,
EMP-0080,PRO GLOBAL,avergiuar,NO,,,
EMP-0093,PECAM PIÑEIRO,CLIENTE ACTUAL,si,sin respuesta,,
EMP-0105,OBRING AEROPUERTO,CLIENTE ACTUAL,NO,,,
EMP-0106,OBRING,CLIENTE ACTUAL,NO,,,
EMP-0112,Neoris,,NO,,,
EMP-0114,MUNDO CONSTRUCCIONES,,SI,NO,,
EMP-0123,MOLINO CAÑUELAS,,NO,,,
EMP-0126,MILICIC,ENVIADO,SI,,09/09,
EMP-0128,Metalsur,,NO,,,
EMP-0149,limpito,VIANDAS,NO,,,
EMP-0150,Liliana,COMEDOR,NO,,,
EMP-0154,la virginia,VIANDAS,SI,,,
EMP-0159,Ivanar,,SI,NO,,
EMP-0168,ING. PEDRO MINERVINO S.A.,CLIENTE ACTUAL,,,,
EMP-0170,INDUSTRIAS SECCO,,NO,,,
EMP-0190,GRUPO BRAYCO,CLIENTE ACTUAL,,,,
EMP-0202,FYO,,NO,,,
EMP-0211,FLEXIO,Presupuesto,NO,,,
EMP-0212,FIUME,,NO,,,
EMP-0213,FEGA S.A.,CLIENTE ACTUAL,,,,
EMP-0218,EVONIK,PRESENTACION ENVIADA,SI,SI,,12/25
EMP-0222,EPRECO,CLIENTE ACTUAL,NO,,,
EMP-0223,EPRECCO PIÑEIRO,CLIENTE ACTUAL,si,aceptado,1309,
EMP-0228,EDECA PIÑEIRO,CLIENTE ACTUAL,NO,,,
EMP-0231,DYSCON,CLIENTE ACTUAL,NO,,,
EMP-0234,Dreyfus,,NO,,,
EMP-0235,DINALE PIÑEIRO,CLIENTE ACTUAL,NO,,,
EMP-0242,DANES,viandas,SI,NO,,
EMP-0243,CVO,licita,NO,,,3/26
EMP-0250,COTRASER LTDA.,CLIENTE ACTUAL,,,,
EMP-0266,COIRINI,,NO,,,
EMP-0268,COCIVIAL S.A.,CLIENTE ACTUAL,,,,
EMP-0276,Celulosa,,NO,,,
EMP-0283,carlini hnos,,NO,,,
EMP-0284,Cargill,,NO,,,
EMP-0290,BUNGE PLANTA,,SI,SI,,
EMP-0291,BUNGE NORDLINK,,SI,SI,,
EMP-0294,BRICKET,PRESENTACION ENVIADA,SI,NO,,
EMP-0295,BRAJKOVIC S.A.I.,CLIENTE ACTUAL,,,,
EMP-0297,BOERO,ENVIAR PRESUPUESTO,SI,SI,,
EMP-0299,BIOCERES,,NO,,,
EMP-0301,BASF,,SI,SI,,
EMP-0303,BAGLIETTO,presupuesto enviado,SI,SI,,
EMP-0305,Autologica,,NO,,,
EMP-0308,Arneg,,NO,,,
EMP-0310,ARGENTAL,,NO,,,
EMP-0312,arenera alzua,presupuesto enviado,SI,SI,,
EMP-0326,ADIENT,en licitación,SI,SI,,
EMP-0328,ACEIRA???,,NO,,,
EMP-0329,ACA VENADO (aramak),,NO,,,
