ESTADO,ID_EMPRESA,EMPRESA,MAIL,MOTIVO
OK,EMP-0001,Zapata Hnos. S.A.,oficinatecnica@zapatahnossa.com.ar,dominio coincide
OK,EMP-0002,YPF,TerminalSanLorenzo@ypf.com,dominio coincide
GENERICO,EMP-0003,YO AMO MI CIUDAD,yoamomiciudad.sanlorenzo@gmail.com,casilla gmail
REVISAR,EMP-0004,YGS CAPACITACIÓN Y CONSULTORÍA,info@ygs-group.com.ar,"dominio ""ygs-group.com.ar"" no coincide con el nombre"
OK,EMP-0005,WILLIAMS ENTREGAS S.A.,rrhh@williamsagroservicios.com.ar,dominio coincide
OK,EMP-0007,WATCHMAN,avalero@watchman.com.ar,dominio coincide
OK,EMP-0008,Vipal Cauchos,vipal@vipal.com.ar,dominio coincide
OK,EMP-0009,VENTILAR S.A.,ventilarsa@ventilarsa.com.ar,dominio coincide
OK,EMP-0010,VENETUCCI,info@venetucci.net,dominio coincide
OK,EMP-0011,VARTECO QUÍMICA PUNTANA,gcanavesio@varteco.com.ar,dominio coincide
OK,EMP-0012,UNITEC BIO,info@unitecbio.com,dominio coincide
OK,EMP-0014,Transelec,mkarle@transelec.com.ar,dominio coincide
OK,EMP-0015,TRANEF,info@tranef.com.ar,dominio coincide
OK,EMP-0016,TORK,administracion@torksa.com,dominio coincide
OK,EMP-0017,TIGUAN S.A.,tecnica@tiguan.com.ar,dominio coincide
OK,EMP-0018,Testatec,info@testatec.com.ar,dominio coincide
OK,EMP-0022,TERMINALES Y SERVICIOS,postulaciones@terminalesyservicios.com.ar,dominio coincide
OK,EMP-0023,Terminal Puerto Rosario (TPR),info@tpr.com.ar,dominio coincide
OK,EMP-0024,TERMINAL 6,term6@terminal6.com.ar,dominio coincide
OK,EMP-0027,TAKAY KAIPI S.A.,carolinacervigni@takay.com.ar,mail de contacto confirmado a mano
OK,EMP-0028,TAGMAS Publicidad,scatini@tagmas.com,dominio coincide
OK,EMP-0029,SYLOPER,info@syloper.com,dominio coincide
OK,EMP-0030,SUX SOLAR,comercial@suxsolar.com.ar,dominio coincide
OK,EMP-0032,STC INVERSIONES,info@stcinversiones.com.ar,dominio coincide
OK,EMP-0034,SOLMEC,admin@solmecsa.com.ar,dominio coincide
OK,EMP-0035,SOLAMB,rrhh@solamb.com.ar,dominio coincide
OK,EMP-0036,SOL INGENIERÍA S.R.L.,sol@solingenieria.com.ar,dominio coincide
OK,EMP-0037,SOIME,info@soime.com.ar,dominio coincide
REVISAR,EMP-0038,SMP SEGURIDAD,fduringer@smpargentina.com,"dominio ""smpargentina.com"" no coincide con el nombre"
OK,EMP-0041,SISGRA,sisgra@sisgra.com.ar,dominio coincide
GENERICO,EMP-0042,SIRIUS CONSULTORES,njbelfiore@yahoo.com.ar,casilla yahoo
OK,EMP-0044,SINERGIA SERVICIOS,info@sinergiaservicios.com.ar,dominio coincide
OK,EMP-0045,SILCAR,llanieri@gruposilcar.com,dominio coincide
OK,EMP-0046,SIECONS INGENIERÍA,administracion@siecons.com,dominio coincide
OK,EMP-0047,SERVICIOS NV,administracion@serviciosnv.com,dominio coincide
REVISAR,EMP-0048,SERVICIOS INGENIERÍA PUERTO,administracion@consultoriasip.com.ar,"dominio ""consultoriasip.com.ar"" no coincide con el nombre"
OK,EMP-0050,SERVICIOS ELECTRICOS MAYLA,info@maylasrl.com.ar,dominio coincide
OK,EMP-0051,SERVI RIO,sanlorenzo@servirio.com.ar,dominio coincide
REVISAR,EMP-0053,SEMAC CONSTRUCCIONES S.A.,obras@brayco.com.ar,mail repetido en 2 cuentas
OK,EMP-0054,SELECTA,bruno.gazze@selectaargentina.com,dominio coincide
OK,EMP-0056,SAVYC S.A.,gerencia@savycsa.com.ar,dominio coincide
OK,EMP-0057,SAURO CONSTRUCCIONES S.R.L.,hernanobras@hotmail.com,mail de contacto confirmado a mano
OK,EMP-0059,Sacchi,info@sacchiweb.com.ar,dominio coincide
OK,EMP-0060,S&D OBRAS Y SERVICIOS S.A.,carlosdestefanis@sdingenieria.com.ar,mail de contacto confirmado a mano
REVISAR,EMP-0061,RV OBRAS Y SERVICIOS S.A.,rtorres@suelosyescorias.com,"dominio ""suelosyescorias.com"" no coincide con el nombre"
OK,EMP-0063,Rosarpin,rosarpin@rosarpin.com.ar,dominio coincide
OK,EMP-0064,RINAUDO CIA.CONSTRUCTORA S.R.L.,edgardo@rinaudoconstructora.com.ar,mail de contacto confirmado a mano
GENERICO,EMP-0065,RENTAL SUR,ale.rentalsur@gmail.com,casilla gmail
OK,EMP-0069,RANDSTAD,info@randstad.com.ar,dominio coincide
OK,EMP-0070,RANDOM,maria.rodriguez@randon.com.ar,dominio coincide
REVISAR,EMP-0071,R. y R. SERVICIOS,administracion@ryrsrl.com,"dominio ""ryrsrl.com"" no coincide con el nombre"
OK,EMP-0072,QMS LATAM,qms@qmslatam.com,dominio coincide
OK,EMP-0076,PROFERTIL,profertil@profertil.com.ar,dominio coincide
OK,EMP-0077,Prodinsa Argentina S.A.,info@prodinsa.com.ar,dominio coincide
OK,EMP-0078,PROAS S.R.L.,administracion@proassrl.com.ar,dominio coincide
OK,EMP-0079,Proagro,info@proagrolab.com.ar,dominio coincide
OK,EMP-0080,PRO GLOBAL,rosario.rrhh@proglobal.com,dominio coincide
GENERICO,EMP-0082,PRAT CONSTRUCCIONES S.A.,nacho_ra@hotmail.com,casilla hotmail
GENERICO,EMP-0083,POSE S.A.,licitaciones.posesa@gmail.com,casilla gmail
OK,EMP-0084,POLEAS MIOR,info@poleasmior.com.ar,dominio coincide
OK,EMP-0085,PLANARCO S.R.L.,mmartinovic@planarco.com.ar,dominio coincide
OK,EMP-0086,Pinturas San Agustin,sucursalrosario@gruposanagustin.com.ar,dominio coincide
OK,EMP-0087,PINTAR,info@pintarsrl.com.ar,dominio coincide
GENERICO,EMP-0088,PILAR CONSTRUCCIONES S.R.L.,pilarconstruccionessrl@hotmail.com,casilla hotmail
GENERICO,EMP-0089,PH CONSTRUCTORA S.R.L.,phconstructorasrl@gmail.com,casilla gmail
GENERICO,EMP-0091,PELLEGRINI MONTAJES S.R.L.,pellegrinimontajes@fibertel.com.ar,casilla fibertel
OK,EMP-0092,PEITEL S.A.,recepcion@peitel.com.ar,dominio coincide
OK,EMP-0095,PATAGONIA BIOENERGÍA,info@patagoniabioenergia.com.ar,dominio coincide
OK,EMP-0096,PALCON,info@palcon.com.ar,dominio coincide
OK,EMP-0097,P.G.S. S.A.,hdacunto@pgssa.com.ar,dominio coincide
OK,EMP-0098,Otaño Hermanos,recepcion@otanohnos.com.ar,dominio coincide
OK,EMP-0100,Olympic San Luis SA,ventas@olympicsanluis.com.ar,dominio coincide
GENERICO,EMP-0101,OLIMAR,olimar_sanlorenzo@yahoo.com.ar,casilla yahoo
OK,EMP-0104,OIL CONTROL S.A.,info@oilcontrol.com.ar,dominio coincide
OK,EMP-0108,NOURYON,info@nouryon.com,dominio coincide
GENERICO,EMP-0109,NN INGENIERÍA,nningenieria@outlook.com,casilla outlook
OK,EMP-0110,Nibbler SRL,ventas@nibbler.com.ar,dominio coincide
OK,EMP-0111,NEQUEN SAN LORENZO,Jeronimo.martinezbo@nequensa.com.ar,mail de contacto confirmado a mano
GENERICO,EMP-0113,NEHCON CONSTRUCCIONES S.R.L.,nehconconstruccionessrl@gmail.com,casilla gmail
OK,EMP-0114,MUNDO CONSTRUCCIONES,maidana@mundo-sa.com.ar,dominio coincide
REVISAR,EMP-0115,MTR S.A. Logística Portuaria,consultas@mtr-sa.com.ar,"dominio ""mtr-sa.com.ar"" no coincide con el nombre"
GENERICO,EMP-0116,MS VINILOS,msvinilosdeco@gmail.com,casilla gmail
REVISAR,EMP-0117,MRT TRANSPORTE,mrtsanlorenzo@grupoberaldi.com,"dominio ""grupoberaldi.com"" no coincide con el nombre"
OK,EMP-0118,MoviPort S.A.,rrhh@moviportsa.com.ar,dominio coincide
OK,EMP-0119,Morelli,melisa@morelli.com.ar,dominio coincide
OK,EMP-0120,MONTARFE,ventas@montarfesrl.com.ar,dominio coincide
OK,EMP-0121,MONGE CONSTRUCCIONES S.A.,rrhh@mongesa.com.ar,dominio coincide
OK,EMP-0122,Molinos Agro,sustentabilidad@molinosagro.com.ar,dominio coincide
OK,EMP-0124,MN INGENIERIA Y SOLUCIONES S.A.S.,luis.montaoo@mningenieria.com.ar,mail de contacto confirmado a mano
OK,EMP-0125,MINIELLO & CIA,administracion@minielloycia.com,dominio coincide
OK,EMP-0127,Metalúrgica Industrial S.A. (MISA),alberico@misa.com.ar,mail de contacto confirmado a mano
OK,EMP-0129,METALIZA S.A.,info@metaliza.com.ar,dominio coincide
OK,EMP-0131,Mercator SA,mercator@mercator.com.ar,dominio coincide
OK,EMP-0132,MEFA INGENIERÍA,administracion@mefaingenieria.com.ar,dominio coincide
OK,EMP-0133,MECALL S.R.L.,administracion@mecallsrl.com.ar,dominio coincide
OK,EMP-0134,Mastergom,cauchos@mastergom.com.ar,dominio coincide
OK,EMP-0135,MARIGO PERFORACIONES,ventas@marigo.com.ar,dominio coincide
OK,EMP-0136,MARCHI DEPOT,administracion@marchidepotsa.com.ar,dominio coincide
GENERICO,EMP-0137,MARANO SERVICIOS,mssteelframing@gmail.com,casilla gmail
OK,EMP-0139,MAN INGENIERIA,contacto@maningenieria.ar,dominio coincide
OK,EMP-0140,Maincal,contacto@maincal.com.ar,dominio coincide
OK,EMP-0141,MADERO CONSTRUCCIONES S.R.L.,contacto@grupomadero.com.ar,dominio coincide
OK,EMP-0143,LOS TANOS AGROSERVICIOS,info@lostanosagro.com,dominio coincide
GENERICO,EMP-0144,LONERA CENTENARIO,loneracentenario@gmail.com,casilla gmail
OK,EMP-0146,Logimet,ventas@logimet.com.ar,dominio coincide
OK,EMP-0147,Loberaz S.A.,loberaz@loberaz.com.ar,dominio coincide
OK,EMP-0150,Liliana,Mcazorla@liliana.com.ar,dominio coincide
GENERICO,EMP-0151,LEGALES FLORES PIAZZA,abogadaflorespiazza@gmail.com,casilla gmail
OK,EMP-0152,LAROMET S.A.,licitaciones@laromet.com.ar,dominio coincide
OK,EMP-0153,Laboratorio Quimeco SRL,administracion@quimeco.com.ar,dominio coincide
OK,EMP-0157,Juan Navarro SA,rosario@jnavarro.com.ar,dominio coincide
OK,EMP-0159,Ivanar,compras@ivanar.com.ar,dominio coincide
OK,EMP-0160,ISA INDEPENDENT SHIP AGENTS,isa@isa-agents.com.ar,dominio coincide
OK,EMP-0161,IRT,sanlorenzo@irt.com.ar,dominio coincide
GENERICO,EMP-0162,INGENIERIA Y SERVICIOS DELGADO S.A.,ingyserv.sa@gmail.com,casilla gmail
OK,EMP-0163,INGENIERÍA UNO,administracion@ingenieriauno.com.ar,dominio coincide
OK,EMP-0164,INGENIERÍA BOGGIO S.A.,sanlorenzo@ingenieriaboggio.com.ar,dominio coincide
OK,EMP-0165,INGENIERIA & PILOTES S.R.L.,licitaciones@ingenieriaypilotes.com.ar,dominio coincide
OK,EMP-0166,ING. RINALDI Y ASOC. S.A,milagros@rinaldiconstrucciones.com,dominio coincide
OK,EMP-0168,ING. PEDRO MINERVINO S.A.,administracion@minervinosa.com.ar,dominio coincide
OK,EMP-0169,INFYA SRL,administracion@infyasrl.com.ar,dominio coincide
OK,EMP-0172,IMG RENTAL,comercial@imgrental.com.ar,dominio coincide
GENERICO,EMP-0173,IMEI INGLES,imeiingles@yahoo.com.ar,casilla yahoo
OK,EMP-0174,IMCO CONSTRUCTORA S.R.L.,gerencia@imcoconstructora.com,dominio coincide
OK,EMP-0176,HORMIGONERA DEL LITORAL S.A.,ing.jquiroga@gmail.com,mail de contacto confirmado a mano
OK,EMP-0177,HERNANDEZ Y BAGNERES,mgatti@hernandez-bagneres.com.ar,dominio coincide
OK,EMP-0179,HEFU Argentina,administracion@hefuargentina.com.ar,dominio coincide
GENERICO,EMP-0180,Hefesto SRL,hefesto@arnet.com.ar,casilla arnet
OK,EMP-0183,GUERRERO – PAGODA,ventas474@guerrero.com.ar,dominio coincide
REVISAR,EMP-0184,GTM,Info@gtmsrl.com.ar,"dominio ""gtmsrl.com.ar"" no coincide con el nombre"
REVISAR,EMP-0185,Grupo Rosario Máquinas,info@gruporm.com.ar,"dominio ""gruporm.com.ar"" no coincide con el nombre"
OK,EMP-0186,Grupo Oroño,info@grupoorono.com.ar,dominio coincide
OK,EMP-0187,Grupo La Emilia / Motomel,responde@motomel.com.ar,dominio coincide
REVISAR,EMP-0188,GRUPO DH,info@dhsh.com.ar,"dominio ""dhsh.com.ar"" no coincide con el nombre"
OK,EMP-0189,GRUPO DELCO S.R.L.,delco@delcosrl.com.ar,dominio coincide
OK,EMP-0190,GRUPO BRAYCO,info@brayco.com.ar,dominio coincide
